,ID,Date_Time,Year,Month,Mdate,Day,Time,sensor_id,Sensor_Name,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
0,1682998,11,2016,November,21,Monday,0,1,Bourke Street Mall (North),108,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,West,East,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,1682999,11,2016,November,21,Monday,0,2,Bourke Street Mall (South),52,Bourke Street Mall (South),Bou283_T,2009/03/30,A,,East,West,-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
2,1683000,11,2016,November,21,Monday,0,5,Princes Bridge,285,Princes Bridge,PriNW_T,2009/03/26,A,,North,South,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
3,1683001,11,2016,November,21,Monday,0,6,Flinders Street Station Underpass,188,Flinders Street Station Underpass,FliS_T,2009/03/25,A,Upgraded on 8/09/21,North,South,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
4,1683002,11,2016,November,21,Monday,0,8,Webb Bridge,7,Webb Bridge,WebBN_T,2009/03/24,A,,North,South,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
5,1683003,11,2016,November,21,Monday,0,9,Southern Cross Station,35,Southern Cross Station,Col700_T,2009/03/23,A,,East,West,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
6,1683004,11,2016,November,21,Monday,0,10,Victoria Point,10,Victoria Point,BouHbr_T,2009/04/23,A,,West,East,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
7,1683005,11,2016,November,21,Monday,0,11,Waterfront City,34,Waterfront City,WatCit_T,2009/01/20,A,,East,West,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
8,1683006,11,2016,November,21,Monday,0,12,New Quay,37,New Quay,NewQ_T,2009/01/21,A,,West,East,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
9,1683007,11,2016,November,21,Monday,0,13,Flagstaff Station,51,Flagstaff Station,Wil277_T,2009/03/24,R,,,,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)"
10,1683008,11,2016,November,21,Monday,0,14,Sandridge Bridge,146,Sandridge Bridge,SanBri_T,2019/09/25,A,,North,South,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
11,1683009,11,2016,November,21,Monday,0,15,State Library,112,State Library,QV_T,2009/03/25,R,,South,North,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
12,1683010,11,2016,November,21,Monday,0,17,Collins Place (South),38,Collins Place (South),Col15_T,2009/03/30,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
13,1683011,11,2016,November,21,Monday,0,18,Collins Place (North),9,Collins Place (North),Col12_T,2009/03/30,A,,East,West,-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
14,1683012,11,2016,November,21,Monday,0,19,Chinatown-Swanston St (North),183,Chinatown-Swanston St (North),LtB210_T,2013/09/02,A,,East,West,-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
15,1683013,11,2016,November,21,Monday,0,20,Chinatown-Lt Bourke St (South),65,Chinatown-Lt Bourke St (South),LtB170_T,2013/09/06,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
16,1683014,11,2016,November,21,Monday,0,21,Bourke St-Russell St (West),276,Bourke St-Russell St (West),Rus180_T,2013/09/02,A,,South,North,-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
17,1683015,11,2016,November,21,Monday,0,24,Spencer St-Collins St (North),152,Spencer St-Collins St (North),Col620_T,2013/09/02,A,,East,West,-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
18,1683016,11,2016,November,21,Monday,0,25,Melbourne Convention Exhibition Centre,54,Melbourne Convention Exhibition Centre,MCEC_T,2019/10/02,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
19,1683017,11,2016,November,21,Monday,0,26,QV Market-Elizabeth St (West),109,QV Market-Elizabeth St (West),Eli483_T,2013/09/28,A,,South,North,-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
20,1683018,11,2016,November,21,Monday,0,27,QV Market-Peel St,10,QV Market-Peel St,Vic_T,2013/08/16,A,,East,West,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
21,1683019,11,2016,November,21,Monday,0,28,The Arts Centre,91,The Arts Centre,VAC_T,2013/08/23,A,,South,North,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
22,1683020,11,2016,November,21,Monday,0,29,St Kilda Rd-Alexandra Gardens,53,St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
23,1683021,11,2016,November,21,Monday,0,30,Lonsdale St (South),206,Lonsdale St (South),Lon189_T,2013/10/14,A,,East,West,-37.81121849,144.96656807,"(-37.81121849, 144.96656807)"
24,1683022,11,2016,November,21,Monday,0,31,Lygon St (West),125,Lygon St (West),Lyg161_T,2013/10/10,A,,South,North,-37.8016968,144.96658911,"(-37.8016968, 144.96658911)"
25,1683023,11,2016,November,21,Monday,0,32,City Square,133,City Square,CSq_T,2013/12/20,R,Device has been removed (24/01/2017),,,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)"
26,1683024,11,2016,November,21,Monday,0,33,Flinders St-Spring St (West),23,Flinders St-Spring St (West),Spr13_T,2014/04/23,R,,North,South,-37.81483252,144.97454056,"(-37.81483252, 144.97454056)"
27,1683025,11,2016,November,21,Monday,0,34,Flinders St-Spark La,28,Flinders St-Spark La,Fli32_T,2014/06/08,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
28,1683026,11,2016,November,21,Monday,0,35,Southbank,217,Southbank,SouthB_T,2021/04/15,A,River side,East,West,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
29,1683027,11,2016,November,21,Monday,0,36,Queen St (West),9,Queen St (West),Que85_T,2015/01/20,A,,South,North,-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
