,Unnamed: 0,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
0,0,2887628,2019-11-01,2019,November,1,Friday,17,34,Flinders St-Spark La,300,Flinders St-Spark La,Fli32_T,2014/06/08,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
1,1,2887629,2019-11-01,2019,November,1,Friday,17,39,Alfred Place,604,Alfred Place,AlfPl_T,2019/12/04,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
2,2,2887630,2019-11-01,2019,November,1,Friday,17,37,Lygon St (East),216,Lygon St (East),Lyg260_T,2015/02/11,A,,North,South,-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
3,3,2887631,2019-11-01,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627,Lonsdale St-Spring St (West),Spr201_T,2015/01/19,A,,South,North,-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
4,4,2887632,2019-11-01,2019,November,1,Friday,17,36,Queen St (West),774,Queen St (West),Que85_T,2015/01/20,A,,South,North,-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
5,5,2887633,2019-11-01,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644,St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
6,6,2887634,2019-11-01,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453,Grattan St-Swanston St (West),UM1_T,2015/04/15,A,,South,North,-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
7,7,2887635,2019-11-01,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387,Monash Rd-Swanston St (West),UM2_T,2015/04/15,A,,South,North,-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
8,8,2887636,2019-11-01,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27,Tin Alley-Swanston St (West),UM3_T,2015/04/15,A,,South,North,-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
9,9,2887637,2019-11-01,2019,November,1,Friday,17,35,Southbank,2691,Southbank,SouthB_T,2021/04/15,A,River side,East,West,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
10,10,2887638,2019-11-01,2019,November,1,Friday,17,45,Little Collins St-Swanston St (East),2173,Little Collins St-Swanston St (East),Swa148_T,2017/06/29,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
11,11,2887639,2019-11-01,2019,November,1,Friday,17,46,Pelham St (S),203,Pelham St (South),Pel147_T,2017/07/10,A,,West,East,-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
12,12,2887640,2019-11-01,2019,November,1,Friday,17,47,Melbourne Central-Elizabeth St (East),2354,Melbourne Central-Elizabeth St (East),Eli250_T,2017/08/24,A,,South,North,-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
13,13,2887641,2019-11-01,2019,November,1,Friday,17,48,QVM-Queen St (East),358,QVM-Queen St (East),QVMQ_T,2017/10/02,A,,East,West,-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
14,14,2887642,2019-11-01,2019,November,1,Friday,17,49,QVM-Therry St (South),161,QVM-Therry St (South),Eli501_T,2017/11/29,A,,West,East,-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
15,15,2887643,2019-11-01,2019,November,1,Friday,17,50,Faraday St-Lygon St (West),502,Faraday St-Lygon St (West),Lyg309_T,2017/11/30,A,,North,South,-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
16,16,2887644,2019-11-01,2019,November,1,Friday,17,51,QVM-Franklin St (North),159,QVM-Franklin St (North),Fra118_T,2017/11/30,A,,West,East,-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
17,17,2887645,2019-11-01,2019,November,1,Friday,17,52,Elizabeth St-Lonsdale St (South),914,Elizabeth St-Lonsdale St (South),Eli263_T,2017/07/31,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
18,18,2887646,2019-11-01,2019,November,1,Friday,17,54,Lincoln-Swanston(West),276,Lincoln-Swanston (West),Swa607_T,2018/06/26,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
19,19,2887647,2019-11-01,2019,November,1,Friday,17,55,Elizabeth St-La Trobe St (East),2070,Elizabeth St-La Trobe St (East),Eli380_T,2018/07/19,A,,North,South,-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
20,20,2887648,2019-11-01,2019,November,1,Friday,17,56,Lonsdale St - Elizabeth St (North),789,Lonsdale St - Elizabeth St (North),Lon364_T,2018/07/25,A,,East,West,-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
21,21,2887649,2019-11-01,2019,November,1,Friday,17,57,Bourke St Bridge,2122,Bourke St Bridge,BouBri_T,2018/08/13,A,,West,East,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
22,22,2887650,2019-11-01,2019,November,1,Friday,17,58,Bourke St - Spencer St (North),2528,Bourke St - Spencer St (North),Bou688_T,2018/09/27,A,,West,East,-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
23,23,2887651,2019-11-01,2019,November,1,Friday,17,59,Swanston St - RMIT Building 80,485,Building 80 RMIT,RMIT_T,2019/02/13,A,,North,South,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
24,24,2887652,2019-11-01,2019,November,1,Friday,17,61,Swanston St - RMIT Building 14,1240,RMIT Building 14,RMIT14_T,2019/06/28,A,,North,South,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
25,25,2887653,2019-11-01,2019,November,1,Friday,17,62,La Trobe St (North),229,La Trobe St (North),Lat224_T,2019/09/25,A,,East,West,-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
26,26,2887654,2019-11-01,2019,November,1,Friday,18,4,Town Hall (West),2950,Town Hall (West),Swa123_T,2009/03/23,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
27,27,2887655,2019-11-01,2019,November,1,Friday,18,17,Collins Place (South),646,Collins Place (South),Col15_T,2009/03/30,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
28,28,2887656,2019-11-01,2019,November,1,Friday,18,18,Collins Place (North),626,Collins Place (North),Col12_T,2009/03/30,A,,East,West,-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
29,29,2887657,2019-11-01,2019,November,1,Friday,18,53,Collins St (North),1153,Collins Street (North),Col254_T,2015/09/23,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
30,30,2887658,2019-11-01,2019,November,1,Friday,18,2,Bourke Street Mall (South),2226,Bourke Street Mall (South),Bou283_T,2009/03/30,A,,East,West,-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
31,31,2887659,2019-11-01,2019,November,1,Friday,18,1,Bourke Street Mall (North),3183,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,West,East,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
32,32,2887660,2019-11-01,2019,November,1,Friday,18,3,Melbourne Central,2802,Melbourne Central,Swa295_T,2009/03/25,A,,North,South,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
33,33,2887661,2019-11-01,2019,November,1,Friday,18,15,State Library,1904,State Library,QV_T,2009/03/25,R,,South,North,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
34,34,2887662,2019-11-01,2019,November,1,Friday,18,9,Southern Cross Station,1310,Southern Cross Station,Col700_T,2009/03/23,A,,East,West,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
35,35,2887663,2019-11-01,2019,November,1,Friday,18,10,Victoria Point,147,Victoria Point,BouHbr_T,2009/04/23,A,,West,East,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
