,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
184923,2654753,5/2/2019,2019,May,2,Thursday,0,1,Bourke Street Mall (North),100,Bourke Street Mall (North),Bou292_T,3/24/2009,A,,West,East,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
184924,2654754,5/2/2019,2019,May,2,Thursday,0,2,Bourke Street Mall (South),70,Bourke Street Mall (South),Bou283_T,3/30/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
184925,2654755,5/2/2019,2019,May,2,Thursday,0,3,Melbourne Central,307,Melbourne Central,Swa295_T,3/25/2009,A,,North,South,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
184926,2654756,5/2/2019,2019,May,2,Thursday,0,4,Town Hall (West),139,Town Hall (West),Swa123_T,3/23/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
184927,2654757,5/2/2019,2019,May,2,Thursday,0,5,Princes Bridge,182,Princes Bridge,PriNW_T,3/26/2009,A,,North,South,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
184928,2654758,5/2/2019,2019,May,2,Thursday,0,6,Flinders Street Station Underpass,176,Flinders Street Station Underpass,FliS_T,3/25/2009,A,Upgraded on 8/09/21,North,South,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
184929,2654759,5/2/2019,2019,May,2,Thursday,0,7,Birrarung Marr,20,Birrarung Marr,Fed_T,12/17/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
184930,2654760,5/2/2019,2019,May,2,Thursday,0,8,Webb Bridge,19,Webb Bridge,WebBN_T,3/24/2009,A,,North,South,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
184931,2654761,5/2/2019,2019,May,2,Thursday,0,9,Southern Cross Station,24,Southern Cross Station,Col700_T,3/23/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
184932,2654762,5/2/2019,2019,May,2,Thursday,0,10,Victoria Point,23,Victoria Point,BouHbr_T,4/23/2009,A,,West,East,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
